"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Population 18 to 24 years","31,631,612","±44,729","16,214,504","±27,087","15,417,108","±24,538"
"Less than high school graduate","14.7%","±0.1","16.8%","±0.2","12.4%","±0.2"
"High school graduate (includes equivalency)","29.6%","±0.1","32.6%","±0.2","26.5%","±0.2"
"Some college or associate's degree","46.0%","±0.2","42.8%","±0.2","49.4%","±0.2"
"Bachelor's degree or higher","9.7%","±0.1","7.8%","±0.1","11.8%","±0.2"
"Population 25 years and over","210,910,615","±70,550","101,763,080","±42,649","109,147,535","±36,275"
"    Less than 9th grade","5.8%","±0.1","5.9%","±0.1","5.6%","±0.1"
"    9th to 12th grade, no diploma","7.6%","±0.1","8.2%","±0.1","7.2%","±0.1"
"    High school graduate (includes equivalency)","27.8%","±0.1","28.4%","±0.1","27.2%","±0.1"
"    Some college, no degree","21.1%","±0.1","20.8%","±0.1","21.4%","±0.1"
"    Associate's degree","8.1%","±0.1","7.2%","±0.1","8.9%","±0.1"
"    Bachelor's degree","18.4%","±0.1","18.3%","±0.1","18.6%","±0.1"
"    Graduate or professional degree","11.2%","±0.1","11.3%","±0.1","11.1%","±0.1"
"Percent high school graduate or higher","86.6%","±0.1","85.9%","±0.1","87.2%","±0.1"
"Percent bachelor's degree or higher","29.6%","±0.1","29.6%","±0.1","29.7%","±0.1"
"Population 25 to 34 years","42,626,555","±34,133","21,503,176","±24,971","21,123,379","±19,377"
"    High school graduate or higher","88.6%","±0.1","87.0%","±0.1","90.2%","±0.1"
"    Bachelor's degree or higher","32.9%","±0.2","28.9%","±0.2","36.9%","±0.2"
"Population 35 to 44 years","40,608,235","±25,895","20,214,767","±19,237","20,393,468","±15,930"
"    High school graduate or higher","87.6%","±0.1","86.3%","±0.1","88.9%","±0.1"
"    Bachelor's degree or higher","33.1%","±0.1","30.6%","±0.1","35.5%","±0.2"
"Population 45 to 64 years","83,011,835","±43,750","40,470,920","±27,270","42,540,915","±24,251"
"    High school graduate or higher","88.1%","±0.1","87.1%","±0.1","89.0%","±0.1"
"    Bachelor's degree or higher","29.2%","±0.1","29.2%","±0.1","29.2%","±0.1"
"Population 65 years and over","44,663,990","±18,744","19,574,217","±11,445","25,089,773","±12,053"
"    High school graduate or higher","81.1%","±0.1","82.0%","±0.1","80.3%","±0.1"
"    Bachelor's degree or higher","24.1%","±0.1","29.9%","±0.1","19.5%","±0.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","27.7%","±0.2","24.1%","±0.2","31.4%","±0.2"
"    High school graduate (includes equivalency)","14.6%","±0.1","12.5%","±0.1","16.6%","±0.1"
"    Some college or associate's degree","10.9%","±0.1","8.7%","±0.1","12.9%","±0.1"
"    Bachelor's degree or higher","4.8%","±0.1","4.3%","±0.1","5.2%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","35,597","±41","41,385","±52","30,195","±39"
"        Less than high school graduate","20,149","±65","23,059","±137","15,308","±89"
"        High school graduate (includes equivalency)","27,350","±54","32,212","±66","21,968","±58"
"        Some college or associate's degree","32,387","±45","40,667","±92","27,436","±63"
"        Bachelor's degree","50,050","±82","60,909","±121","41,110","±92"
"        Graduate or professional degree","65,565","±180","81,789","±223","54,916","±325"
"PERCENT IMPUTED","","","","","",""
"    Educational attainment","7.1%","(X)","(X)","(X)","(X)","(X)"
