"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Males!!Estimate","United States!!Males!!Margin of Error","United States!!Percent Males!!Estimate","United States!!Percent Males!!Margin of Error","United States!!Females!!Estimate","United States!!Females!!Margin of Error","United States!!Percent Females!!Estimate","United States!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"Population 18 to 24 years","31,341,948","±42,092","(X)","(X)","16,065,032","±22,304","(X)","(X)","15,276,916","±25,615","(X)","(X)"
"    Less than high school graduate","4,231,896","±39,061","13.5%","±0.1","2,478,913","±28,131","15.4%","±0.2","1,752,983","±24,173","11.5%","±0.2"
"    High school graduate (includes equivalency)","9,539,682","±42,954","30.4%","±0.1","5,371,473","±31,441","33.4%","±0.2","4,168,209","±36,077","27.3%","±0.2"
"    Some college or associate's degree","14,353,301","±58,984","45.8%","±0.2","6,873,962","±38,716","42.8%","±0.2","7,479,339","±43,820","49%","±0.3"
"    Bachelor's degree or higher","3,217,069","±32,743","10.3%","±0.1","1,340,684","±19,348","8.3%","±0.1","1,876,385","±23,596","12.3%","±0.2"
"Population 25 years and over","216,447,163","±69,294","(X)","(X)","104,477,394","±41,717","(X)","(X)","111,969,769","±34,650","(X)","(X)"
"    Less than 9th grade","11,988,039","±69,070","5.5%","±0.1","5,942,569","±43,859","5.7%","±0.1","6,045,470","±42,983","5.4%","±0.1"
"    9th to 12th grade, no diploma","15,838,087","±73,009","7.3%","±0.1","8,238,447","±50,737","7.9%","±0.1","7,599,640","±46,894","6.8%","±0.1"
"    High school graduate (includes equivalency)","59,662,981","±130,241","27.6%","±0.1","29,620,517","±84,270","28.4%","±0.1","30,042,464","±77,377","26.8%","±0.1"
"    Some college, no degree","44,909,753","±88,024","20.7%","±0.1","21,375,190","±60,034","20.5%","±0.1","23,534,563","±68,417","21%","±0.1"
"    Associate's degree","17,806,750","±69,860","8.2%","±0.1","7,652,143","±42,636","7.3%","±0.1","10,154,607","±53,707","9.1%","±0.1"
"    Bachelor's degree","41,152,388","±111,280","19%","±0.1","19,615,278","±63,733","18.8%","±0.1","21,537,110","±77,825","19.2%","±0.1"
"    Graduate or professional degree","25,089,165","±109,308","11.6%","±0.1","12,033,250","±60,345","11.5%","±0.1","13,055,915","±66,893","11.7%","±0.1"
"Percent high school graduate or higher","(X)","(X)","87.1%","±0.1","(X)","(X)","86.4%","±0.1","(X)","(X)","87.8%","±0.1"
"Percent bachelor's degree or higher","(X)","(X)","30.6%","±0.1","(X)","(X)","30.3%","±0.1","(X)","(X)","30.9%","±0.1"
"Population 25 to 34 years","43,897,832","±33,513","(X)","(X)","22,130,661","±22,997","(X)","(X)","21,767,171","±20,531","(X)","(X)"
"    High school graduate or higher","39,374,773","±49,600","89.7%","±0.1","19,506,421","±34,157","88.1%","±0.1","19,868,352","±29,643","91.3%","±0.1"
"    Bachelor's degree or higher","14,970,508","±68,425","34.1%","±0.1","6,692,705","±40,856","30.2%","±0.2","8,277,803","±45,148","38%","±0.2"
"Population 35 to 44 years","40,804,130","±27,374","(X)","(X)","20,308,787","±19,362","(X)","(X)","20,495,343","±19,745","(X)","(X)"
"    High school graduate or higher","35,811,819","±45,143","87.8%","±0.1","17,539,923","±30,592","86.4%","±0.1","18,271,896","±33,123","89.2%","±0.1"
"    Bachelor's degree or higher","13,954,212","±61,784","34.2%","±0.1","6,324,928","±36,113","31.1%","±0.2","7,629,284","±38,650","37.2%","±0.2"
"Population 45 to 64 years","84,012,721","±43,575","(X)","(X)","40,983,291","±26,194","(X)","(X)","43,029,430","±23,723","(X)","(X)"
"    High school graduate or higher","73,935,179","±76,437","88%","±0.1","35,615,574","±48,590","86.9%","±0.1","38,319,605","±42,294","89.1%","±0.1"
"    Bachelor's degree or higher","25,008,161","±80,145","29.8%","±0.1","11,997,205","±49,412","29.3%","±0.1","13,010,956","±53,913","30.2%","±0.1"
"Population 65 years and over","47,732,480","±20,477","(X)","(X)","21,054,655","±12,060","(X)","(X)","26,677,825","±13,870","(X)","(X)"
"    High school graduate or higher","39,499,266","±44,791","82.8%","±0.1","17,634,460","±25,162","83.8%","±0.1","21,864,806","±27,888","82%","±0.1"
"    Bachelor's degree or higher","12,308,672","±47,831","25.8%","±0.1","6,633,690","±33,207","31.5%","±0.2","5,674,982","±29,802","21.3%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","163,862,749","±76,710","(X)","(X)","79,672,483","±47,592","(X)","(X)","84,190,266","±37,474","(X)","(X)"
"        High school graduate or higher","145,963,119","±108,366","89.1%","±0.1","70,410,846","±62,283","88.4%","±0.1","75,552,273","±63,955","89.7%","±0.1"
"        Bachelor's degree or higher","52,252,515","±131,479","31.9%","±0.1","25,384,713","±71,404","31.9%","±0.1","26,867,802","±80,323","31.9%","±0.1"
"White alone, not Hispanic or Latino","142,711,173","±17,990","(X)","(X)","69,227,473","±11,562","(X)","(X)","73,483,700","±10,430","(X)","(X)"
"    High school graduate or higher","131,667,618","±68,738","92.3%","±0.1","63,506,389","±40,966","91.7%","±0.1","68,161,229","±42,142","92.8%","±0.1"
"    Bachelor's degree or higher","48,823,442","±114,200","34.2%","±0.1","23,823,504","±62,949","34.4%","±0.1","24,999,938","±73,845","34%","±0.1"
"Black alone","25,578,326","±27,451","(X)","(X)","11,752,682","±19,670","(X)","(X)","13,825,644","±15,877","(X)","(X)"
"    High school graduate or higher","21,674,018","±42,085","84.7%","±0.1","9,789,541","±29,077","83.3%","±0.2","11,884,477","±25,887","86%","±0.2"
"    Bachelor's degree or higher","5,175,013","±47,353","20.2%","±0.2","2,077,046","±26,223","17.7%","±0.2","3,097,967","±33,001","22.4%","±0.2"
"American Indian or Alaska Native alone","1,584,273","±19,424","(X)","(X)","762,857","±12,108","(X)","(X)","821,416","±11,390","(X)","(X)"
"    High school graduate or higher","1,253,043","±16,643","79.1%","±0.5","590,813","±10,202","77.4%","±0.7","662,230","±10,406","80.6%","±0.6"
"    Bachelor's degree or higher","223,487","±7,373","14.1%","±0.4","97,492","±5,075","12.8%","±0.6","125,995","±4,649","15.3%","±0.5"
"Asian alone","12,076,055","±22,454","(X)","(X)","5,556,779","±14,054","(X)","(X)","6,519,276","±16,102","(X)","(X)"
"    High school graduate or higher","10,448,753","±30,126","86.5%","±0.2","4,915,499","±18,130","88.5%","±0.2","5,533,254","±18,988","84.9%","±0.2"
"    Bachelor's degree or higher","6,317,533","±42,145","52.3%","±0.3","3,046,823","±23,681","54.8%","±0.4","3,270,710","±23,755","50.2%","±0.3"
"Native Hawaiian and Other Pacific Islander alone","335,354","±7,972","(X)","(X)","162,722","±4,566","(X)","(X)","172,632","±5,152","(X)","(X)"
"    High school graduate or higher","293,773","±7,398","87.6%","±1.1","143,072","±4,364","87.9%","±1.3","150,701","±4,763","87.3%","±1.3"
"    Bachelor's degree or higher","52,509","±3,987","15.7%","±1.1","25,759","±2,652","15.8%","±1.6","26,750","±2,759","15.5%","±1.5"
"Some other race alone","8,911,072","±74,789","(X)","(X)","4,581,580","±43,777","(X)","(X)","4,329,492","±38,328","(X)","(X)"
"    High school graduate or higher","5,409,108","±54,421","60.7%","±0.3","2,726,446","±31,834","59.5%","±0.4","2,682,662","±31,595","62%","±0.4"
"    Bachelor's degree or higher","984,463","±20,367","11%","±0.2","453,364","±13,171","9.9%","±0.3","531,099","±11,841","12.3%","±0.3"
"Two or more races","4,099,334","±47,665","(X)","(X)","1,988,291","±29,475","(X)","(X)","2,111,043","±24,645","(X)","(X)"
"    High school graduate or higher","3,579,223","±45,725","87.3%","±0.3","1,720,161","±28,238","86.5%","±0.4","1,859,062","±24,072","88.1%","±0.4"
"    Bachelor's degree or higher","1,236,033","±24,085","30.2%","±0.4","563,331","±14,877","28.3%","±0.5","672,702","±14,413","31.9%","±0.5"
"Hispanic or Latino Origin","31,653,207","±26,657","(X)","(X)","15,807,854","±16,829","(X)","(X)","15,845,353","±15,726","(X)","(X)"
"    High school graduate or higher","20,890,036","±67,532","66%","±0.2","10,194,356","±39,582","64.5%","±0.2","10,695,680","±41,516","67.5%","±0.2"
"    Bachelor's degree or higher","4,677,364","±45,238","14.8%","±0.1","2,119,034","±28,127","13.4%","±0.2","2,558,330","±26,338","16.1%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","26.5%","±0.2","(X)","(X)","22.7%","±0.2","(X)","(X)","30.3%","±0.2"
"    High school graduate (includes equivalency)","(X)","(X)","14.1%","±0.1","(X)","(X)","11.9%","±0.1","(X)","(X)","16.2%","±0.1"
"    Some college or associate's degree","(X)","(X)","10.2%","±0.1","(X)","(X)","8%","±0.1","(X)","(X)","12%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","4.9%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","36,860","±44","(X)","(X)","42,378","±53","(X)","(X)","31,072","±42","(X)","(X)"
