"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","30,373,170","±42,282","(X)","(X)","15,556,254","±26,205","(X)","(X)","14,816,916","±25,476","(X)","(X)"
"        Less than high school graduate","3,662,080","±41,512","12.1%","±0.1","2,126,765","±29,356","13.7%","±0.2","1,535,315","±23,612","10.4%","±0.2"
"        High school graduate (includes equivalency)","9,921,331","±56,156","32.7%","±0.2","5,613,801","±42,121","36.1%","±0.3","4,307,530","±28,987","29.1%","±0.2"
"        Some college or associate's degree","13,168,280","±67,371","43.4%","±0.2","6,298,275","±47,639","40.5%","±0.3","6,870,005","±38,395","46.4%","±0.2"
"        Bachelor's degree or higher","3,621,479","±38,999","11.9%","±0.1","1,517,413","±21,841","9.8%","±0.1","2,104,066","±26,405","14.2%","±0.2"
"    Population 25 years and over","224,898,568","±68,852","(X)","(X)","108,711,092","±44,257","(X)","(X)","116,187,476","±37,512","(X)","(X)"
"        Less than 9th grade","10,874,685","±74,193","4.8%","±0.1","5,401,669","±47,283","5.0%","±0.1","5,473,016","±42,598","4.7%","±0.1"
"        9th to 12th grade, no diploma","14,743,856","±83,892","6.6%","±0.1","7,685,261","±56,956","7.1%","±0.1","7,058,595","±49,549","6.1%","±0.1"
"        High school graduate (includes equivalency)","60,482,353","±181,247","26.9%","±0.1","30,551,814","±109,150","28.1%","±0.1","29,930,539","±105,580","25.8%","±0.1"
"        Some college, no degree","44,914,086","±111,140","20.0%","±0.1","21,578,525","±71,329","19.8%","±0.1","23,335,561","±81,887","20.1%","±0.1"
"        Associate's degree","19,381,937","±84,109","8.6%","±0.1","8,391,409","±46,395","7.7%","±0.1","10,990,528","±58,737","9.5%","±0.1"
"        Bachelor's degree","45,730,479","±155,188","20.3%","±0.1","21,645,659","±90,559","19.9%","±0.1","24,084,820","±89,426","20.7%","±0.1"
"        Graduate or professional degree","28,771,172","±144,021","12.8%","±0.1","13,456,755","±82,122","12.4%","±0.1","15,314,417","±82,431","13.2%","±0.1"
"        High school graduate or higher","199,280,027","±175,350","88.6%","±0.1","95,624,162","±99,645","88.0%","±0.1","103,655,865","±95,374","89.2%","±0.1"
"        Bachelor's degree or higher","74,501,651","±239,607","33.1%","±0.1","35,102,414","±124,144","32.3%","±0.1","39,399,237","±133,327","33.9%","±0.1"
"    Population 25 to 34 years","45,578,475","±44,197","(X)","(X)","23,099,299","±31,667","(X)","(X)","22,479,176","±24,494","(X)","(X)"
"        High school graduate or higher","41,789,966","±62,802","91.7%","±0.1","20,916,920","±42,044","90.6%","±0.1","20,873,046","±36,536","92.9%","±0.1"
"        Bachelor's degree or higher","16,837,545","±88,110","36.9%","±0.2","7,600,635","±47,398","32.9%","±0.2","9,236,910","±53,810","41.1%","±0.2"
"    Population 35 to 44 years","41,914,845","±33,511","(X)","(X)","20,920,715","±24,215","(X)","(X)","20,994,130","±22,812","(X)","(X)"
"        High school graduate or higher","37,310,520","±53,369","89.0%","±0.1","18,358,431","±32,890","87.8%","±0.1","18,952,089","±34,714","90.3%","±0.1"
"        Bachelor's degree or higher","15,688,232","±73,536","37.4%","±0.2","7,051,332","±39,031","33.7%","±0.2","8,636,900","±46,808","41.1%","±0.2"
"    Population 45 to 64 years","83,331,220","±42,888","(X)","(X)","40,646,797","±27,200","(X)","(X)","42,684,423","±26,492","(X)","(X)"
